2018 rank,City,State,2018 estimate,2010 census,Percentage Change,2016 land area km2,2016 population density per km2,Time zone,Website
213,Kent, Washington,129618,92411,+40.26,87.3 ,"1,461",UTC-8 (PST),http://www.kentwa.gov/
214,Santa Clara, California,129488,116468,+11.18,47.7 ,"2,643",UTC−8 (Pacific),http://SantaClaraCA.gov
215,Elizabeth, New Jersey,128885,124969,+3.13,31.9 ,"4,038",UTC−05:00 (Eastern (EST)),http://www.elizabethnj.org/
216,Round Rock, Texas,128739,99887,+28.88,92.2 ,"1,311",UTC−6 (Central (CST)),http://www.roundrocktexas.gov/
217,Thousand Oaks, California,127690,126683,+0.79,143.0 ,902,UTC−8 (Pacific),http://www.toaks.org
218,Lafayette, Louisiana,126143,120623,+4.58,139.3 ,916,UTC-6 (CST),https://www.lafayettetravel.com/
219,Athens, Georgia,125964,115452,+9.11,301.5 ,410,UTC−5 (EST),http://www.athensclarkecounty.com/
220,Topeka, Kansas,125904,127473,−1.23,159.3 ,796,UTC-6 (CST),http://www.topeka.org
221,Simi Valley, California,125851,124237,+1.30,107.5 ,"1,175",UTC−8 (Pacific),http://www.simivalley.org
222,Fargo,  North Dakota,124844,105549,+18.28,127.7 ,950,UTC-6 (CST),http://www.cityoffargo.com
223,Norman, Oklahoma,123471,110925,+11.31,463.1 ,264,UTC−6 (Central (CST)),http://www.ci.norman.ok.us
224,Columbia, Missouri,123180,108500,+13.53,168.3 ,717,UTC-6 (CST),http://www.como.gov
225,Abilene, Texas,122999,117063,+5.07,276.4 ,442,UTC−6 (CST),http://abilenetx.com
226,Wilmington, North Carolina,122607,106476,+15.15,133.6 ,880,UTC−5 (Eastern (EST)),http://www.wilmingtonnc.gov/
227,Hartford, Connecticut,122587,124775,−1.75,45.1 ,"2,735",UTC−5 (EST),http://www.hartford.gov
228,Victorville, California,122312,115903,+5.53,189.8 ,644,UTC-8 (Pacific Time Zone),http://www.victorvilleca.gov/
229,Pearland, Texas,122149,91252,+33.86,119.9 ,947,UTC−6 (Central (CST)),http://www.cityofpearland.com
230,Vallejo, California,121913,115942,+5.15,79.5 ,"1,525",UTC−8 (Pacific),http://www.ci.vallejo.ca.us
231,Ann Arbor, Michigan,121890,113934,+6.98,72.8 ,"1,659",UTC-5 (EST),http://www.a2gov.org/
232,Berkeley, California,121643,112580,+8.05,27.2 ,"4,458",UTC−8 (Pacific),http://www.cityofberkeley.info
233,Allentown, Pennsylvania,121433,118032,+2.88,45.3 ,"2,657",UTC−5 (EST),http://www.allentownpa.gov/
234,Richardson, Texas,120981,99223,+21.93,74.1 ,"1,530",UTC−6 (CST),https://www.cor.net
235,Odessa, Texas,120568,99940,+20.64,117.1 ,"1,007",UTC−6 (CST),http://www.odessa-tx.gov/
236,Arvada, Colorado,120492,106433,+13.21,100.0 ,"1,175",UTC−7 (MST),http://arvada.org
237,Cambridge, Massachusetts,118977,105162,+13.14,16.6 ,"6,675",UTC−5 (Eastern),http://cambridgema.gov
238,Sugar Land, Texas,118600,78817,+50.48,88.1 ,"1,347",UTC−6 (Central (CST)),http://www.sugarlandtx.gov/
239,Beaumont, Texas,118428,118296,+0.11,212.6 ,556,UTC−6 (CST),http://beaumonttexas.gov
240,Lansing, Michigan,118427,114297,+3.61,101.3 ,"1,146",UTC-5 (EST),http://www.lansingmi.gov
241,Evansville, Indiana,117963,117429,+0.45,122.5 ,975,UTC-6 (CST),http://www.evansvillegov.org
242,Rochester, Minnesota,116961,106769,+9.55,141.4 ,806,UTC−6 (CST),http://www.rochestermn.gov
243,Independence, Missouri,116925,116830,+0.08,201.5 ,581,UTC−6 (Central (CST)),http://www.indepmo.org
244,Fairfield, California,116884,105321,+10.98,105.9 ,"1,083",UTC−8 (Pacific),http://www.fairfield.ca.gov
245,Provo, Utah,116702,112488,+3.75,108.0 ,"1,082",UTC−7 (Mountain (MST)),http://www.provo.org/
246,Clearwater, Florida,116478,107685,+8.17,67.1 ,"1,705",UTC-5 (Eastern (EST)),http://www.myclearwater.com
247,College Station, Texas,116218,93857,+23.82,132.1 ,849,UTC-6 (CST),http://www.cstx.gov
248,West Jordan, Utah,116046,103712,+11.89,83.7 ,"1,360",UTC−7 (Mountain (MST)),http://www.westjordan.utah.gov/
249,Carlsbad, California,115877,105328,+10.02,97.6 ,"1,167",UTC−8 (Pacific),http://www.carlsbadca.gov
250,El Monte, California,115586,113475,+1.86,24.9 ,"4,658",UTC−8 (Pacific),http://ci.el-monte.ca.us
251,Murrieta, California,114985,103466,+11.13,87.0 ,"1,283",UTC−8 (Pacific),http://www.murrieta.org
252,Temecula, California,114742,100097,+14.63,96.6 ,"1,170",UTC−8 (Pacific),http://temeculaca.gov
253,Springfield, Illinois,114694,116250,−1.34,155.7 ,743,UTC−6 (CST),http://www.springfield.il.us
254,Palm Bay, Florida,114194,103190,+10.66,170.2 ,647,UTC−5 (Eastern (EST)),http://www.palmbayflorida.org/
255,Costa Mesa, California,113615,109960,+3.32,40.7 ,"2,775",UTC-8 (PST),http://www.costamesaca.gov
256,Westminster, Colorado,113479,106114,+6.94,82.1 ,"1,387",UTC−7 (MST),http://www.cityofwestminster.us
257,North Charleston, South Carolina,113237,97471,+16.18,190.9 ,573,UTC−5 (EST),http://www.northcharleston.org
258,Miami Gardens, Florida,113069,107167,+5.51,47.1 ,"2,398",UTC-5 (EST),http://www.miamigardens-fl.gov/
259,Manchester, New Hampshire,112525,109565,+2.70,85.7 ,"1,289",UTC-5 (Eastern),http://www.manchesternh.gov
260,High Point, North Carolina,112316,104371,+7.61,143.0 ,778,UTC−5 (EST),http://www.highpointnc.gov
261,Downey, California,112269,111772,+0.44,32.1 ,"3,527",UTC-8 (PST),http://www.downeyca.org
262,Clovis, California,112022,95631,+17.14,62.7 ,"1,700",UTC−8 (Pacific),http://www.ci.clovis.ca.us
263,Pompano Beach, Florida,111954,99845,+12.13,62.2 ,"1,760",UTC−5 (EST),http://www.pompanobeachfl.gov
264,Pueblo, Colorado,111750,106595,+4.84,138.8 ,795,UTC−7 (MST),http://www.pueblo.us/
265,Elgin, Illinois,111683,108188,+3.23,96.9 ,"1,158",UTC−6 (Central),http://cityofelgin.org
266,Lowell, Massachusetts,111670,106519,+4.84,35.2 ,"3,139",UTC−5 (Eastern),http://www.lowellma.gov/
267,Antioch, California,111535,102372,+8.95,76.1 ,"1,456",UTC−8 (Pacific),http://www.ci.antioch.ca.us
268,West Palm Beach, Florida,111398,99919,+11.49,142.7 ,758,UTC−5 (EST),http://wpb.org/
269,Peoria, Illinois,111388,115007,−3.15,124.8 ,915,UTC−6 (CST),http://www.peoriagov.org
270,Everett, Washington,111262,103019,+8.00,86.2 ,"1,264",UTC−8 (PST),http://everettwa.gov
271,Ventura, California,111128,106433,+4.41,56.5 ,"1,941",UTC−8 (Pacific),http://cityofventura.net
272,Centennial, Colorado,110831,100377,+10.41,76.4 ,"1,439",UTC-7 (MST),http://www.centennialco.gov/
273,Lakeland, Florida,110516,97422,+13.44,170.7 ,624,UTC-5 (EST),http://www.lakelandgov.net/
274,Gresham, Oregon,110158,105594,+4.32,60.3 ,"1,848",UTC−8 (Pacific),http://www.greshamoregon.gov/
275,Richmond, California,110146,103701,+6.21,78.0 ,"1,409",UTC−8 (Pacific),http://www.ci.richmond.ca.us
276,Billings, Montana,109550,104170,+5.16,113.2 ,975,UTC−7 (Mountain),http://www.cityofbillings.net/
277,Inglewood, California,109419,109673,−0.23,23.6 ,"4,700",UTC−8 (Pacific),http://www.cityofinglewood.org
278,Broken Arrow, Oklahoma,109171,98850,+10.44,159.8 ,672,UTC−6 (CST),http://www.brokenarrowok.gov
279,Sandy Springs, Georgia,108797,93853,+15.92,97.6 ,"1,083",UTC−5 (EST),http://www.sandyspringsga.gov
280,Jurupa Valley, California,108393,0,NA[ab],111.1 ,932,UTC-8 (PST),http://jurupavalley.org
281,Hillsboro, Oregon,108389,91611,+18.31,64.7 ,"1,624",UTC−8 (PST),http://www.hillsboro-oregon.gov/
282,Waterbury, Connecticut,108093,110366,−2.06,73.8 ,"1,467",UTC−5 (Eastern),http://www.waterburyct.org
283,Santa Maria, California,107408,99553,+7.89,59.1 ,"1,800",UTC−8 (Pacific),http://www.ci.santa-maria.ca.us
284,Boulder, Colorado,107353,97385,+10.24,64.2 ,"1,683",UTC-7 (MST),http://bouldercolorado.gov
285,Greeley, Colorado,107348,92889,+15.57,123.8 ,840,UTC−7 (MST),http://greeleygov.com
286,Daly City, California,107008,101123,+5.82,19.7 ,"5,409",UTC−8 (Pacific),http://www.dalycity.org
287,Meridian, Idaho,106804,75092,+42.23,77.2 ,"1,384",UTC−7 (Mountain),http://www.meridiancity.org
288,Lewisville, Texas,106586,95290,+11.85,95.1 ,"1,101",UTC−6 (Central),http://www.cityoflewisville.com
